Hebrew,Transliteration,Root,Meaning,Part of speech
צִינְתּוּר,tzintur,צ - נ - ת - ר,catheterisation,"Noun –kittulpattern, masculine"
מִצְעָד,mitz'ad,צ - ע - ד,"parade, march","Noun –miktalpattern, masculine"
צַעַד,tza'ad,צ - ע - ד,step,"Noun –ketelpattern, masculine"
צְעִידָה,tze'ida,צ - ע - ד,"walking, marching","Noun –ktilapattern, masculine"
צַעֲדָה,tza'ada,צ - ע - ד,"march, parade","Noun –katlapattern, feminine"
צָעִיף,tza'if,צ - ע - פ,"scarf, shawl","Noun –katilpattern, masculine"
צַעֲצוּעַ,tza'atzua,צ - ע - צ - ע,toy,"Noun –kattulpattern, masculine"
צְעָקָה,tze'aka,צ - ע - ק,"cry, shout","Noun –ktalapattern, feminine"
צַעַר,tza'ar,צ - ע - ר,"sadness, regret, remorse","Noun –ketelpattern, masculine"
מִצְעָר,mitz'ar,צ - ע - ר,"small thing, iota, small quantity (lit.)","Noun –miktalpattern, masculine"
צַפַּחַת,tzapachat,צ - פ - ח,"flask, bottle, jug (biblical)","Noun –katteletpattern, feminine"
מִצְפֶּה,mitzpe,צ - פ - ה,"observation point, lookout; settlement on a hilltop","Noun –miktalpattern, masculine"
צְפִייָּה,tzfiya,צ - פ - ה,"viewing, watching, observation","Noun –ktilapattern, feminine"
צֶפִי,tzefi,צ - פ - ה,"forecast, projection","Noun –ketelpattern, masculine"
צִיפּוּי,tzipuy,צ - פ - ה,"covering, coating","Noun –kittulpattern, masculine"
תַּצְפִּית,tatzpit,צ - פ - ה,observation; observation post,"Noun –taktitpattern, feminine"
מַצְפֵּן,matzpen,צ - פ - נ,compass,"Noun –maktelpattern, masculine"
צָפוֹן,tzafon,צ - פ - נ,north,"Noun –katolpattern, masculine"
צוֹפֶן,tzofen,צ - פ - נ,"cipher, code","Noun –kotelpattern, masculine"
הַצְפָּנָה,hatzpana,צ - פ - נ,"encoding, encryption","Noun –haktalapattern, feminine"
הִצְטוֹפְפוּת,hitztofefut,צ - פ - פ,crowding,"Noun –hitkattlutpattern, feminine"
צַפָּר,tzapar,צ - פ - ר,ornithologist,"Noun –kattalpattern, masculine"
צָפִיר,tzafir,צ - פ - ר,goat (archaic); tragus (anatomy),"Noun –katilpattern, masculine"
צְפִירָה,tzfira,צ - פ - ר,"beeping, honking; siren, claxon","Noun –ktilapattern, feminine"
צָרֶבֶת,tzarevet,צ - ר - ב,heartburn,"Noun –katteletpattern, feminine"
צְרָחָה,tzracha,צ - ר - ח,"scream, shriek","Noun –ktalapattern, feminine"
צוֹרֶךְ,tzorech,צ - ר - כ,"need, necessity, requirement","Noun –kotelpattern, masculine"
צַרְכָן,tzarchan,צ - ר - כ,consumer,"Noun –katlanpattern, masculine"
מִצְרָךְ,mitzrach,צ - ר - כ,consumer good,"Noun –miktalpattern, masculine"
צְרִיכָה,tzricha,צ - ר - כ,consumption,"Noun –ktilapattern, feminine"
צָרַעַת,tzara'at,צ - ר - ע,leprosy,"Noun –katteletpattern, feminine"
צְרִיף,tzrif,צ - ר - פ,"shed, shack","Noun –ktilpattern, masculine"
צֵירוּף,tzeruf,צ - ר - פ,"phrase, idiom (linguistics); joining, combination","Noun –kittulpattern, masculine"
צִירְצוּר,tzirtzur,צ - ר - צ - ר,chirping (of a cricket),"Noun –kittulpattern, masculine"
צְרוֹר,tzror,צ - ר - ר,"package; bundle, bunch; burst (of gunfire)","Noun –ktolpattern, masculine"
צָרָה,tzara,צ - ר - ר,"tragedy, trouble, distress","Noun –katlapattern, feminine"
קִיבּוֹלֶת,kibolet,ק - ב - ל,capacity,"Noun –kittoletpattern, feminine"
קַבָּלָה,kabala,ק - ב - ל,"receipt, reception; acceptance","Noun –kattalapattern, feminine"
קַבָּל,kabal,ק - ב - ל,capacitor,"Noun –kattalpattern, masculine"
קִיבּוּל,kibul,ק - ב - ל,"volume, capacity; (electricity) capacitance","Noun –kittulpattern, masculine"
קִיבּוּעַ,kibua,ק - ב - ע,"fixing, fixation","Noun –kittulpattern, masculine"
קְבִיעָה,kvi'a,ק - ב - ע,"ruling, decision, order; setting, confirmation (of a date, time, place); fixing (photography)","Noun –ktilapattern, feminine"
קִיבָּעוֹן,kiba'on,ק - ב - ע,fixation (psychology),"Noun –kittalonpattern, masculine"
קְבוּצָה,kvutza,ק - ב - צ,"group, collection; set (mathematics)","Noun –ktulapattern, feminine"
קוֹבֶץ,kovetz,ק - ב - צ,"file (computing); collection, anthology","Noun –kotelpattern, masculine"
קִיבּוּץ,kibutz,ק - ב - צ,"kibbutz, collective settlement; gathering, collection","Noun –kittulpattern, masculine"
קְבוּרָה,kvura,ק - ב - ר,burial; grave,"Noun –ktulapattern, feminine"
קֵבֶר,kever,ק - ב - ר,"grave, tomb","Noun –ketelpattern, masculine"
קַדַּחַת,kadachat,ק - ד - ח,fever; malaria,"Noun –katteletpattern, feminine"
מַקְדֵּחָה,makdecha,ק - ד - ח,drill (tool),"Noun –maktelapattern, feminine"
קְדִיחָה,kdicha,ק - ד - ח,"drilling, boring; delirium, fever","Noun –ktilapattern, feminine"
מַקְדֵּחַ,makdeach,ק - ד - ח,drill bit,"Noun –maktelpattern, masculine"
קִידּוֹמֶת,kidomet,ק - ד - מ,prefix,"Noun –kittoletpattern, feminine"
קִדְמָה,kidma,ק - ד - מ,"progress, advancement","Noun –kitlapattern, feminine"
הַקְדָּמָה,hakdama,ק - ד - מ,"foreword, preface, introduction","Noun –haktalapattern, feminine"
תַּקְדִּים,takdim,ק - ד - מ,precedent,"Noun –taktilpattern, masculine"
הִתְקַדְּמוּת,hitkadmut,ק - ד - מ,"progress, advancement","Noun –hitkattlutpattern, feminine"
מְקַדֵּם,mekadem,ק - ד - מ,coefficient,"Noun –mekattelpattern, masculine"
קִידּוּם,kidum,ק - ד - מ,advancement; promotion,"Noun –kittulpattern, masculine"
הֶקְדֵּם,hekdem,ק - ד - מ,"completing early, doing something ahead of time","Noun –hektelpattern, masculine"
קַדָּר,kadar,ק - ד - ר,potter,"Noun –kattalpattern, masculine"
קִידּוּשׁ,kidush,ק - ד - ש,Kiddush (Jewish tradition),"Noun –kittulpattern, masculine"
מִקְדָּשׁ,mikdash,ק - ד - ש,"temple, sanctuary","Noun –miktalpattern, masculine"
קוֹדֶשׁ,kodesh,ק - ד - ש,"holiness, sanctity; sacred place or object","Noun –kotelpattern, masculine"
הַקְדָּשָׁה,hakdasha,ק - ד - ש,"consecration, sanctification; dedication, designation","Noun –haktalapattern, feminine"
קְהִילָּה,kehila,ק - ה - ל,"community, congregation","Noun –ktilapattern, feminine"
הִתְקַהֲלוּת,hitkahalut,ק - ה - ל,"crowd, gathering of people","Noun –hitkattlutpattern, feminine"
מַקְהֵלָה,makhela,ק - ה - ל,choir,"Noun –maktelapattern, feminine"
קָהָל,kahal,ק - ה - ל,"community, public; audience","Noun –katalpattern, masculine"
קְהִילָה,kehila,ק - ה - ל,"community, congregation","Noun –ktilapattern, feminine"
מִקְווֶה,mikve,ק - ו - ה,"mikveh, ritual bath (judaism)","Noun –miktalpattern, masculine"
מָקוֹם,makom,ק - ו - מ,"place, space, seat","Noun –miktalpattern, masculine"
תְּקוּמָה,tkuma,ק - ו - מ,"revival; (lit.) resistance, resilience","Noun –tkulapattern, feminine"
הִתְקוֹמְמוּת,hitkomemut,ק - ו - מ,"uprising, rebellion","Noun –hitkattlutpattern, feminine"
הֲקָמָה,hakama,ק - ו - מ,"establishment, foundation, setting up","Noun –haktalapattern, feminine"
מֵקִים,mekim,ק - ו - מ,founder,"Noun –maktilpattern, masculine"
קִינָה,kina,ק - ו - נ,lamentation,"Noun –ktilapattern, feminine"
תְּקוּפָה,tkufa,ק - ו - פ,"period, era; season","Noun –tkulapattern, feminine"
מָקוֹר,makor,ק - ו - ר,"source, origin","Noun –miktalpattern, masculine"
קִיזּוּז,kizuz,ק - ז - ז,"offset, deduction, compensation","Noun –kittulpattern, masculine"
קוֹטֶב,kotev,ק - ט - ב,"pole (geography, physics)","Noun –kotelpattern, masculine"
קִיטּוּב,kituv,ק - ט - ב,polarization,"Noun –kittulpattern, masculine"
קֶטַע,keta,ק - ט - ע,"section, segment; part","Noun –ketelpattern, masculine"
קְטִיפָה,ktifa,ק - ט - פ,velvet,"Noun –ktilapattern, feminine"
קוֹטֶר,koter,ק - ט - ר,"diameter; caliber, calibre","Noun –kotelpattern, masculine"
קַטָּר,katar,ק - ט - ר,locomotive,"Noun –kattalpattern, masculine"
מִקְטֶרֶת,mikteret,ק - ט - ר,smoking pipe,"Noun –mikteletpattern, feminine"
קִיּוּם,kiyum,ק - י - מ,"existence; implementation, fulfilment; preservation, maintenance; confirmation, approval","Noun –kittulpattern, masculine"
קַיִן,kayin,ק - י - נ,"spear (biblical, rare)","Noun –ketelpattern, masculine"
קַיִץ,kayitz,ק - י - צ,summer,"Noun –ketelpattern, masculine"
הַקְלָדָה,haklada,ק - ל - ד,typing (on a keyboard),"Noun –haktalapattern, feminine"
מִקְלֶדֶת,mikledet,ק - ל - ד,keyboard,"Noun –mikteletpattern, feminine"
קַלְדָן,kaldan,ק - ל - ד,typist,"Noun –katlanpattern, masculine"
קְלִיד,klid,ק - ל - ד,"key (of a piano, organ, etc.)","Noun –ktilpattern, masculine"
מִקְלַחַת,miklachat,ק - ל - ח,shower,"Noun –mikteletpattern, feminine"
קִילּוּחַ,kiluach,ק - ל - ח,"trickle; flow (of words, emotions, sounds); shower","Noun –kittulpattern, masculine"
קְלִיטָה,klita,ק - ל - ט,"comprehension, absorption; absorption, adaptation (of immigrants); perception; reception (radio, telecom); acceptance","Noun –ktilapattern, feminine"
מִקְלָט,miklat,ק - ל - ט,"shelter, refuge","Noun –miktalpattern, masculine"
הַקְלָטָה,haklata,ק - ל - ט,"recording (on a disk, tape)","Noun –haktalapattern, feminine"
הִיקָּלְטוּת,hikaltut,ק - ל - ט,"absorption, assimilation","Noun –hikkatlutpattern, feminine"
קַלֶּטֶת,kaletet,ק - ל - ט,cassette,"Noun –katteletpattern, feminine"
מַקְלֵט,maklet,ק - ל - ט,"receiver (radio, TV)","Noun –maktelpattern, masculine"
תַּקְלִיט,taklit,ק - ל - ט,"record, album, disk (music)","Noun –taktilpattern, masculine"
קֶלֶט,kelet,ק - ל - ט,input (computing),"Noun –ketelpattern, masculine"
קָלוֹן,kalon,ק - ל - ה,"disgrace, shame","Noun –katonpattern, masculine"
קְלָלָה,klala,ק - ל - ל,curse,"Noun –ktalapattern, feminine"
הֲקַלָּה,hakala,ק - ל - ל,"relief, facilitation, easing","Noun –haktalapattern, feminine"
קֶלַע,kela,ק - ל - ע,"slingshot; sling; behind-the-scene, wings in theatre (in plural)","Noun –ketelpattern, masculine"
קָלָע,kala,ק - ל - ע,"marksman, slinger","Noun –katalpattern, masculine"
מַקְלֵעַ,maklea,ק - ל - ע,machine gun,"Noun –maktelpattern, masculine"
קָלִיעַ,kalia,ק - ל - ע,bullet,"Noun –katilpattern, masculine"
קְלִיעָה,kli'a,ק - ל - ע,"shooting, target practice, throwing","Noun –ktilapattern, feminine"
קְלִיעָה,kli'a,ק - ל - ע,"braiding, basket weaving","Noun –ktilapattern, feminine"
קְלָף,klaf,ק - ל - פ,playing card; parchment,"Noun –ktalpattern, masculine"
קְלִפָּה,klipa,ק - ל - פ,"peel, skin, bark, shell","Noun –ktilapattern, feminine"
קִילְקוּל,kilkul,ק - ל - ק - ל,"malfunction; spoiling, decomposition, damage; corruption","Noun –kittulpattern, masculine"
קִלְשׁוֹן,kilshon,ק - ל - ש,pitchfork,"Noun –kitlonpattern, masculine"
קֶמַח,kemach,ק - מ - ח,flour,"Noun –ketelpattern, masculine"
קוֹמֶץ,kometz,ק - מ - צ,handful,"Noun –kotelpattern, masculine"
קְמִירָה,kmira,ק - מ - ר,convexity (mathematics),"Noun –ktilapattern, feminine"
קֶמֶר,kemer,ק - מ - ר,"arch, curve","Noun –ketelpattern, masculine"
קִנְאָה,kin'a,ק - נ - א,"envy, jealousy","Noun –kitlapattern, feminine"
קַנָּא,kana,ק - נ - א,"jealous, zealous (as an epithet of God)","Noun –kattalpattern, masculine"
קִינּוּחַ,kinuach,ק - נ - ח,dessert,"Noun –kittulpattern, masculine"
הַקְנָטָה,haknata,ק - נ - ט,"teasing, mocking","Noun –haktalapattern, feminine"
קְנִייָּה,kniya,ק - נ - ה,"purchase, acquisition","Noun –ktilapattern, feminine"
קְנִיָּה,kniya,ק - נ - ה,"purchase, acquisition","Noun –ktilapattern, feminine"
קֵן,ken,ק - נ - נ,nest,"Noun –ketelpattern, masculine"
קְנָס,knas,ק - נ - ס,"fine, financial penalty","Noun –ktalpattern, masculine"
קַסְדָּה,kasda,ק - ס - ד,helmet,"Noun –katlapattern, feminine"
קֶסֶם,kesem,ק - ס - מ,"sorcery, magic","Noun –ketelpattern, masculine"
קַעְקוּעַ,ka'akua,ק - ע - ק - ע,tattoo,"Noun –kattulpattern, masculine"
קִעְקוּעַ,ki'akua,ק - ע - ק - ע,tattooing,"Noun –kittulpattern, masculine"
קִעְקוּעַ,ki'akua,ק - ע - ק - ע,"destruction, ruination, undermining","Noun –kittulpattern, masculine"
קְעִירָה,ke'ira,ק - ע - ר,concavity (mathematics),"Noun –ktilapattern, feminine"
קְעָרָה,ke'ara,ק - ע - ר,"bowl, dish","Noun –ktalapattern, feminine"
הַקְפָּאָה,hakpa'a,ק - פ - א,freezing,"Noun –haktalapattern, feminine"
קִיפָּאוֹן,kipa'on,ק - פ - א,"freezing; standstill, stagnation","Noun –kittalonpattern, masculine"
מַקְפִּיא,makpi,ק - פ - א,freezer,"Noun –maktilpattern, masculine"
קְפִידָה,kfida,ק - פ - ד,"strictness, rigour, pedantry (lit.)","Noun –ktilapattern, feminine"
הַקְפָּדָה,hakpada,ק - פ - ד,"meticulousness, strictness, preciseness","Noun –haktalapattern, feminine"
קִיפּוּחַ,kipuach,ק - פ - ח,"discrimination, deprivation","Noun –kittulpattern, masculine"
קֵפֶל,kefel,ק - פ - ל,"fold, crease","Noun –ketelpattern, masculine"
קִיפּוּל,kipul,ק - פ - ל,"folding; fold; winding up, closing","Noun –kittulpattern, masculine"
קְפִיץ,kfitz,ק - פ - צ,"coil, spring","Noun –ktilpattern, masculine"
קְפִיצָה,kfitza,ק - פ - צ,"hop, leap; jumping, hopping; rise, increase; short visit, ""pop"" (slang)","Noun –ktilapattern, feminine"
קְצוּבָּה,ktzuba,ק - צ - ב,"allowance, ration","Noun –ktullapattern, feminine"
קֶצֶב,ketzev,ק - צ - ב,"rhythm; pace, speed","Noun –ketelpattern, masculine"
קַצָּב,katzav,ק - צ - ב,butcher,"Noun –kattalpattern, masculine"
קִצְבָּה,kitzba,ק - צ - ב,"allowance, subsidy","Noun –kitlapattern, feminine"
תַּקְצִיב,taktziv,ק - צ - ב,"budget, allocation","Noun –taktilpattern, masculine"
קִצְבָּה,kitzba,ק - צ - ב,"allowance, stipend","Noun –kitlapattern, feminine"
קָצִין,katzin,ק - צ - נ,officer (military),"Noun –katilpattern, masculine"
מִקְצוֹעַ,miktzoa,ק - צ - ע,profession; edge (geometry),"Noun –miktolpattern, masculine"
קַצֶּפֶת,katzefet,ק - צ - פ,whipped cream,"Noun –katteletpattern, feminine"
קֶצֶף,ketzef,ק - צ - פ,"fury, wrath (lit.)","Noun –ketelpattern, masculine"
קֶצֶף,ketzef,ק - צ - פ,"froth, foam","Noun –ketelpattern, masculine"
קִיצּוּץ,kitzutz,ק - צ - צ,"trimming, cutting off; (in plural) cutbacks, reductions, layoffs","Noun –kittulpattern, masculine"
קֵץ,ketz,ק - צ - צ,"end, finish, stop; death","Noun –ketelpattern, masculine"
קְצִיצָה,ktzitza,ק - צ - צ,cutlet,"Noun –ktilapattern, feminine"
קְצִיצָה,ktzitza,ק - צ - צ,chopping,"Noun –ktilapattern, feminine"
קוֹצֶר,kotzer,ק - צ - ר,"shortness; insufficiency, deficiency","Noun –kotelpattern, masculine"
קָצִיר,katzir,ק - צ - ר,harvest,"Noun –katilpattern, masculine"
קִיצּוּר,kitzur,ק - צ - ר,"abbreviation, shortening","Noun –kittulpattern, masculine"
קֶצֶר,ketzer,ק - צ - ר,short-circuit,"Noun –ketelpattern, masculine"
קַצֶּרֶת,katzeret,ק - צ - ר,asthma,"Noun –katteletpattern, feminine"
קוֹצֵר,kotzer,ק - צ - ר,"harvester, reaper","Noun –kotelpattern, masculine"
תַּקְצִיר,taktzir,ק - צ - ר,"summary, brief, abstract","Noun –taktilpattern, masculine"
קְרִיאָה,kri'a,ק - ר - א,"call, exclamation; reading","Noun –ktilapattern, feminine"
מִקְרָא,mikra,ק - ר - א,"Bible; legend, key (of a map)","Noun –miktalpattern, masculine"
הַקְרָבָה,hakrava,ק - ר - ב,"sacrifice, act of sacrificing","Noun –haktalapattern, feminine"
קִרְבָה,kirva,ק - ר - ב,"proximity; kinship; similarity; relationship, connection","Noun –kitlapattern, feminine"
תַּקְרִיב,takriv,ק - ר - ב,close-up photo,"Noun –taktilpattern, masculine"
קָרוֹב,karov,ק - ר - ב,"relative, family member","Noun –katolpattern, masculine"
קְרָב,krav,ק - ר - ב,"battle, combat; struggle, race, competition","Noun –ktalpattern, masculine"
הִתְקָרְבוּת,hitkarvut,ק - ר - ב,"nearing, approaching","Noun –hitkattlutpattern, feminine"
קֶרֶב,kerev,ק - ר - ב,"interior, inside; (in plural) innards","Noun –ketelpattern, masculine"
קֶרַח,kerach,ק - ר - ח,ice,"Noun –ketelpattern, masculine"
קָרַחַת,karachat,ק - ר - ח,"bald spot; glade, opening","Noun –katteletpattern, feminine"
מִקְרֶה,mikre,ק - ר - ה,"case, occasion","Noun –miktalpattern, masculine"
קִרְיָה,kirya,ק - ר - ה,"town, small city","Noun –kitlapattern, feminine"
תַּקְרִית,takrit,ק - ר - ה,incident,"Noun –taktitpattern, feminine"
קַרְייָן,karyan,ק - ר - ה,"newsreader, announcer, narrator, speaker","Noun –katlanpattern, masculine"
הַקְרָנָה,hakrana,ק - ר - נ,"irradiation, radiation; projecting on a screen","Noun –haktalapattern, feminine"
קֶרֶן,keren,ק - ר - נ,"fund (finance), foundation","Noun –ketelpattern, feminine"
קֶרֶן,keren,ק - ר - נ,"horn (anatomy); ray, beam","Noun –ketelpattern, feminine"
קְרִינָה,krina,ק - ר - נ,radiation,"Noun –ktilapattern, feminine"
מַקְרֵן,makren,ק - ר - נ,📽️ slide projector; radiator; barrel jacket (weaponry),"Noun –maktelpattern, masculine"
קְרִיסָה,krisa,ק - ר - ס,"collapse; bankruptcy; bend, squat (exercise); crash (computing)","Noun –ktilapattern, feminine"
קֶרַע,kera,ק - ר - ע,"tear, rip, hole; split, rift; torn-off piece, rag","Noun –ketelpattern, masculine"
קְרִיצָה,kritza,ק - ר - צ,"blink, wink","Noun –ktilapattern, feminine"
קִרְקוּעַ,kirkua,ק - ר - ק - ע,grounding (plane),"Noun –kittulpattern, masculine"
מְקַרְקְעִין,mekarke'in,ק - ר - ק - ע,"land, real estate","Noun –mekattelpattern, masculine"
קַרְקֶפֶת,karkefet,ק - ר - ק - פ,scalp,"Noun –katteletpattern, feminine"
קִירְקוּף,kirkuf,ק - ר - ק - פ,scalping,"Noun –kittulpattern, masculine"
הִתְקָרְרוּת,hitkarerut,ק - ר - ר,"cooling; cold, common cold (illness)","Noun –hitkattlutpattern, feminine"
קוֹר,kor,ק - ר - ר,"cold, coldness","Noun –kotelpattern, masculine"
מְקָרֵר,mekarer,ק - ר - ר,"fridge, refrigerator","Noun –mekattelpattern, masculine"
קֶרֶשׁ,keresh,ק - ר - ש,"plank, board","Noun –ketelpattern, masculine"
קִישּׁוּא,kishu,ק - ש - א,"courgette, zucchini","Noun –kittulpattern, masculine"
הַקְשָׁבָה,hakshava,ק - ש - ב,attention; listening,"Noun –haktalapattern, feminine"
קֶשֶׁב,keshev,ק - ש - ב,"attention, attentiveness","Noun –ketelpattern, masculine"
קַשָּׁב,kashav,ק - ש - ב,"radio monitor, listener","Noun –kattalpattern, masculine"
קִישּׁוּט,kishut,ק - ש - ט,"decoration, ornament, adornment","Noun –kittulpattern, masculine"
קוֹשִׁי,koshi,ק - ש - ה,"difficulty; hardness, solidity","Noun –kotelpattern, masculine"
הִתְקַשְּׁרוּת,hitkashrut,ק - ש - ר,"connection, relationship; communication","Noun –hitkattlutpattern, feminine"
תִּקְשׁוֹרֶת,tikshoret,ק - ש - ר,communication,"Noun –tiktoletpattern, feminine"
קֶשֶׁר,kesher,ק - ש - ר,"connection, tie, relationship; knot","Noun –ketelpattern, masculine"
הֶקְשֵׁר,heksher,ק - ש - ר,context,"Noun –hektelpattern, masculine"
קִישּׁוּר,kishur,ק - ש - ר,"link, hyperlink; ribbon, knot (lit.); connection, liaison","Noun –kittulpattern, masculine"
קְשִׁירָה,kshira,ק - ש - ר,"tying, knotting","Noun –ktilapattern, feminine"
קַשׁ,kash,ק - ש - ש,straw,"Noun –ketelpattern, masculine"
קֶשֶׁת,keshet,ק - ש - ת,"🏹 bow; 🌈 rainbow; arc, arch","Noun –ketelpattern, feminine"
רַאֲווָה,ra'ava,ר - א - ו,"showcase, display, demonstration","Noun –katlapattern, feminine"
רֵיאָיוֹן,re'ayon,ר - א - ה,interview,"Noun –kittalonpattern, masculine"
רְאִייָּה,re'iya,ר - א - ה,"eyesight, vision; view; opinion, point of view","Noun –ktilapattern, feminine"
מַרְאָה,mar'a,ר - א - ה,"mirror, looking glass","Noun –miktalpattern, feminine"
רְאָיָה,re'aya,ר - א - ה,"proof, evidence","Noun –ktalapattern, feminine"
רוֹב,rov,ר - ב - ב,"most of, majority","Noun –kotelpattern, masculine"
רִיבָּה,riba,ר - ב - ב,"jam, jelly, marmalade","Noun –kitlapattern, feminine"
רִיבּוֹן,ribon,ר - ב - ב,"ruler, overlord, sovereign","Noun –kitlonpattern, masculine"
רְבָבָה,revava,ר - ב - ב,"myriad, ten thousand (archaic); (in plural), lots, a great many","Noun –ktalapattern, feminine"
רוֹבֶד,roved,ר - ב - ד,"level, layer, stratum; echelon","Noun –kotelpattern, masculine"
רִיבּוּד,ribud,ר - ב - ד,stratification,"Noun –kittulpattern, masculine"
מַרְבָד,marvad,ר - ב - ד,"carpet, rug","Noun –maktalpattern, masculine"
רִיבּוּי,ribuy,ר - ב - ה,"multiplicity, multitude; increase; plural (grammar)","Noun –kittulpattern, masculine"
רוֹבַע,rova,ר - ב - ע,"quarter, block, neighbourbood (of a city)","Noun –kotelpattern, masculine"
רִיבּוּעַ,ribua,ר - ב - ע,square,"Noun –kittulpattern, masculine"
רֶבַע,reva,ר - ב - ע,"quarter, fourth part","Noun –ketelpattern, masculine"
רֶגֶב,regev,ר - ג - ב,"lump, clod (of earth)","Noun –ketelpattern, masculine"
רִיגּוּל,rigul,ר - ג - ל,espionage,"Noun –kittulpattern, masculine"
הֶרְגֵּל,hergel,ר - ג - ל,habit,"Noun –hektelpattern, masculine"
רֶגֶל,regel,ר - ג - ל,leg; foot,"Noun –ketelpattern, feminine"
תַּרְגִּיל,targil,ר - ג - ל,exercise; practice,"Noun –taktilpattern, masculine"
מַרְגֵּמָה,margema,ר - ג - מ,mortar (artillery),"Noun –maktelapattern, feminine"
רוֹגַע,roga,ר - ג - ע,"serenity, calm, peace","Noun –kotelpattern, masculine"
הַרְגָּעָה,harga'a,ר - ג - ע,"quietening, calming","Noun –haktalapattern, feminine"
רֶגַע,rega,ר - ג - ע,moment,"Noun –ketelpattern, masculine"
הַרְגָּשָׁה,hargasha,ר - ג - ש,feeling; well-being (medical),"Noun –haktalapattern, feminine"
הִתְרַגְּשׁוּת,hitragshut,ר - ג - ש,excitement,"Noun –hitkattlutpattern, feminine"
רֶגֶשׁ,regesh,ר - ג - ש,feeling,"Noun –ketelpattern, masculine"
מַרְגָּשׁ,margash,ר - ג - ש,"mood, general health (coll.)","Noun –maktalpattern, masculine"
הֵירָדְמוּת,heradmut,ר - ד - מ,falling asleep,"Noun –hikkatlutpattern, feminine"
מִרְדָּף,mirdaf,ר - ד - פ,"chase, pursuit","Noun –miktalpattern, masculine"
רְדִיפָה,redifa,ר - ד - פ,"chase; pursuit (after money, fame, etc.); persecution, oppression","Noun –ktilapattern, feminine"
רַהַט,rahat,ר - ה - ט,water trough,"Noun –ketelpattern, masculine"
רָהִיט,rahit,ר - ה - ט,piece of furniture; (in plural) furniture,"Noun –kattilpattern, masculine"
רִיהוּט,rihut,ר - ה - ט,furnishing; furniture,"Noun –kittulpattern, masculine"
רִיוּוּחַ,rivuach,ר - ו - ח,spacing,"Noun –kittulpattern, masculine"
מִרְווָח,mirvach,ר - ו - ח,"interval, space","Noun –miktalpattern, masculine"
רְווָחָה,revacha,ר - ו - ח,"welfare, wellbeing, comfort","Noun –ktalapattern, feminine"
רֶווַח,revach,ר - ו - ח,"space, gap","Noun –ketelpattern, masculine"
רֶווַח,revach,ר - ו - ח,"profit, gain","Noun –ketelpattern, masculine"
רִיוּוּי,rivuy,ר - ו - ה,saturation; watering,"Noun –kittulpattern, masculine"
רְווָיָה,revaya,ר - ו - ה,"saturation, satiation","Noun –ktalapattern, feminine"
רִווְיוֹן,rivyon,ר - ו - ה,saturation (of thirst); buttermilk,"Noun –kitlonpattern, masculine"
רָמָה,rama,ר - ו - מ,"height, level; hilly region, plateau","Noun –ktalapattern, feminine"
הֲרָמָה,harama,ר - ו - מ,"lifting, raising","Noun –haktalapattern, feminine"
תְּרוּמָה,truma,ר - ו - מ,"donation, contribution","Noun –tkulapattern, feminine"
מָרוֹם,marom,ר - ו - מ,"height, peak, summit","Noun –miktalpattern, masculine"
רִיצָה,ritza,ר - ו - צ,"race, running","Noun –ktilapattern, feminine"
מְרִיצָה,meritza,ר - ו - צ,wheelbarrow,"Noun –mekilapattern, feminine"
רָץ,ratz,ר - ו - צ,"runner, sprinter; bishop (chess)","Noun –kalpattern, masculine"
מְרוּצָה,merutza,ר - ו - צ,"race, running","Noun –mekulapattern, feminine"
הַרְזָיָה,harzaya,ר - ז - ה,"slimming, weight reduction","Noun –haktalapattern, feminine"
רוֹזֵן,rozen,ר - ז - נ,"count, earl","Noun –kotelpattern, masculine"
רְחָבָה,rechava,ר - ח - ב,"plaza, yard, square","Noun –ktalapattern, feminine"
הַרְחָבָה,harchava,ר - ח - ב,"expansion, widening","Noun –haktalapattern, feminine"
רוֹחַב,rochav,ר - ח - ב,width,"Noun –kotelpattern, masculine"
רְחוֹב,rechov,ר - ח - ב,street,"Noun –ktolpattern, masculine"
מֶרְחָב,merchav,ר - ח - ב,"space (esp. a wide open space), room","Noun –miktalpattern, masculine"
רֶחֶם,rechem,ר - ח - מ,"womb, uterus","Noun –ketelpattern, masculine"
רַחְפָן,rachfan,ר - ח - פ,"multirotor drone, multicopter drone","Noun –katlanpattern, masculine"
רְחִיצָה,rechitza,ר - ח - צ,"washing, bathing","Noun –ktilapattern, feminine"
תַּרְחִיץ,tarchitz,ר - ח - צ,"lotion, wash (cosmetics)","Noun –taktilpattern, masculine"
רַחְצָה,rachtza,ר - ח - צ,bathing,"Noun –katlapattern, feminine"
הִתְרַחֲקוּת,hitrachakut,ר - ח - ק,distancing,"Noun –hitkattlutpattern, feminine"
הַרְחָקָה,harchaka,ר - ח - ק,"removal, distancing","Noun –haktalapattern, feminine"
מֶרְחָק,merchak,ר - ח - ק,distance,"Noun –miktalpattern, masculine"
תַּרְחִישׁ,tarchish,ר - ח - ש,scenario,"Noun –taktilpattern, masculine"
הִתְרַחֲשׁוּת,hitrachashut,ר - ח - ש,"happening, event","Noun –hitkattlutpattern, feminine"
רוֹטֶב,rotev,ר - ט - ב,"sauce, gravy, dressing","Noun –kotelpattern, masculine"
רִיטּוּט,ritut,ר - ט - ט,vibration (lit.),"Noun –kittulpattern, masculine"
